id,date,time,A,B,C,D,E,F,G,H
111504,1/3/2022,10:20:02,1888,748,1916,751,1605,755,11935,1466
111505,1/3/2022,10:40:00,1888,747,1916,751,1602,756,11941,0
111506,1/3/2022,10:50:03,1888,747,1916,751,1597,756,11928,1459
111507,1/3/2022,11:10:00,1888,747,1917,750,1593,756,11941,0
111508,1/3/2022,11:20:08,1890,748,1920,751,1596,756,11942,1455
111509,1/3/2022,11:50:00,1890,747,1921,751,1596,754,11956,1450
111510,1/3/2022,12:10:02,1891,747,1921,750,1591,756,11963,1449
111511,1/3/2022,12:20:09,1888,747,1921,751,1591,754,11944,1449
111512,1/3/2022,12:40:00,1890,747,1921,751,1579,756,11957,1447
111513,1/3/2022,12:50:00,1892,747,1921,748,1579,755,11949,1452
111514,1/3/2022,13:10:04,1891,747,1922,751,1578,754,11949,1449
111515,1/3/2022,13:20:02,1890,747,1926,751,1585,759,11942,1454
111516,1/3/2022,13:40:02,1890,747,1926,748,1583,755,11942,1459
111517,1/3/2022,14:00:27,0,0,0,0,0,0,0,0
111518,1/3/2022,14:10:05,1892,747,1926,750,1592,753,11983,1451
111519,1/3/2022,14:20:02,1891,747,1927,751,1588,756,11942,1439
111520,1/3/2022,14:30:29,0,0,0,0,0,0,0,0
111521,1/3/2022,14:40:00,1892,747,1930,751,1587,755,11959,1439
111522,1/3/2022,14:50:02,1892,747,1931,748,1587,755,11942,1439
111523,1/3/2022,15:00:27,0,0,0,0,0,0,0,0
111524,1/3/2022,15:10:03,1890,747,1931,750,1581,753,11942,1449
111525,1/3/2022,15:20:00,1889,747,1931,748,1578,753,11942,1450
111526,1/3/2022,15:40:00,1892,747,1933,751,1569,755,11957,1450
111527,1/3/2022,15:50:03,1891,747,1932,751,1572,756,11991,1453
111528,1/3/2022,16:00:25,0,0,0,0,0,0,0,0
111529,1/3/2022,16:10:07,1892,747,1936,750,1576,756,11942,1464
111530,1/3/2022,16:20:01,1892,747,1936,749,1573,752,11942,1456
111531,1/3/2022,16:30:26,0,0,0,0,0,0,0,0
111532,1/3/2022,16:40:00,1892,747,1936,750,1572,756,11942,1459
111533,1/3/2022,16:50:00,1892,747,1936,751,1572,756,11942,1459
111534,1/3/2022,17:00:26,0,0,0,0,0,0,0,0
111535,1/3/2022,17:10:01,1891,747,1936,751,1572,756,11940,1464
111536,1/3/2022,17:20:01,1892,747,1936,751,1572,756,11935,1464
111537,1/3/2022,17:30:27,0,0,0,0,0,0,0,0
111538,1/3/2022,17:40:00,1890,747,1936,748,1573,756,11933,1469
111539,1/3/2022,17:50:00,1890,747,1938,750,1576,756,11924,1470
111540,1/3/2022,18:00:27,0,0,0,0,0,0,0,0
111541,1/3/2022,18:10:03,1892,747,1937,751,1577,756,11940,1474
111542,1/3/2022,18:20:00,1891,747,1937,751,1576,756,11926,1478
111543,1/3/2022,18:30:25,0,0,0,0,0,0,0,0
111544,1/3/2022,18:40:01,1892,748,1939,751,1577,755,11936,1479
